包号,目标重量(克),实际重量(克),偏差(克),生产时间(秒),控制阶段,控制模式,粗加料速度,精加料速度,粗加提前量,精加提前量,稳定性分数,准确性分数
1,150.00,98.20,-51.80,5.15,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
2,150.00,63.40,-86.60,5.15,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
3,150.00,206.40,56.40,8.38,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
4,150.00,206.80,56.80,8.26,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
5,150.00,208.80,58.80,8.21,COARSE_SEARCH,标准,40.00,20.00,2.00,0.50,0.00,0.00
6,150.00,62.00,-88.00,5.12,COARSE_SEARCH,标准,40.00,20.00,2.00,0.40,0.00,0.00
7,150.00,207.20,57.20,8.45,COARSE_SEARCH,标准,40.00,22.00,2.00,0.40,0.00,0.00
8,150.00,207.40,57.40,8.13,COARSE_SEARCH,标准,40.00,24.00,2.00,0.40,0.00,0.00
9,150.00,67.80,-82.20,5.15,COARSE_SEARCH,标准,40.00,24.00,2.00,0.30,0.00,0.00
10,150.00,206.20,56.20,8.44,COARSE_SEARCH,标准,40.00,22.00,2.00,0.30,0.00,0.00
